Date,Close_Actual,Close_Predicted,Volume_Actual,Volume_Predicted
2023-08-28,25800.724609,23095.236407605953,17202862221.0,23496274923.58596
2023-08-29,25868.798828,23141.018537907486,10100387473.0,23534271612.16807
2023-08-30,25969.566406,23066.047186610933,8962524523.0,23490482984.61346
2023-08-31,25812.416016,22907.64535378314,10680635106.0,23390762269.1935
2023-09-01,25779.982422,22704.81099547758,11094740040.0,23261229411.008095
2023-09-02,25753.236328,22493.61792396291,12752705327.0,23125582984.733437
2023-09-03,26240.195313,22302.797458597503,11088307100.0,23003031831.765446
2023-09-04,25905.654297,22173.596896807798,10817356400.0,22922198328.624653
2023-09-05,25895.677734,22115.124062813717,5481314132.0,22888639075.905445
2023-09-06,25832.226563,22122.303880142543,7899553047.0,22897336136.41223
2023-09-07,25162.654297,22177.091409297915,14600006467.0,22934877837.46332
2023-09-08,25833.34375,22226.191318124544,18657279324.0,22964339587.53246
2023-09-09,26228.324219,22255.051171275667,13072077069.999998,22977340725.487885
2023-09-10,26539.673828,22283.04743800682,13811359124.0,22989057961.847145
2023-09-11,26608.693359,22336.609879450134,11479735788.0,23019183889.116745
2023-09-12,26568.28125,22428.603924922674,7402031417.0,23076865325.592747
2023-09-13,26534.1875,22554.731725729693,6774210670.0,23158062295.784184
2023-09-14,26754.28125,22697.890254074744,15615339655.0,23249739668.414345
2023-09-15,27211.117188,22837.8876544546,13807690550.000002,23337996789.949234
2023-09-16,27132.007813,22976.049431606887,13281116604.0,23424431346.489162
2023-09-17,26567.632813,23105.671744904022,13371443707.999998,23504937990.77146
2023-09-18,26579.568359,23192.27540444353,10578746709.0,23555948891.663338
2023-09-19,26579.390625,23220.43233841561,7404700301.0,23567543229.09181
2023-09-20,26256.826172,23196.958854516488,8192867686.0,23544736325.381588
2023-09-21,26298.480469,23127.58675656617,11997833257.0,23491476635.543278
2023-09-22,26217.25,23025.213607329886,9985498161.0,23416589348.756195
2023-09-23,26352.716797,22907.70962067951,11718380997.0,23332241459.168884
2023-09-24,27021.546875,22797.319176121076,14079002707.0,23253546920.39807
2023-09-25,26911.720703,22734.815602720293,10396435377.0,23209026129.000435
2023-09-26,26967.916016,22740.08950490365,5331172801.0,23212030615.627705
2023-09-27,27983.75,22816.19356024872,9503917434.0,23263070280.09913
2023-09-28,27530.785156,22987.155554635818,19793041322.0,23378056611.646152
2023-09-29,27429.978516,23215.76495506674,11407814187.000002,23531311578.34556
2023-09-30,27799.394531,23449.98967556799,11143355314.0,23686399569.52339
2023-10-01,27415.912109,23663.89802345429,11877253670.0,23825787876.01008
2023-10-02,27946.597656,23822.311906325158,13492391599.0,23925519050.913513
2023-10-03,27968.839844,23927.62124938934,6553044316.0,23988615884.95703
2023-10-04,27935.089844,23997.25041492514,7916875289.999999,24027734353.14149
2023-10-05,27583.677734,24044.55888401546,12007668568.0,24052167706.53157
2023-10-06,27391.019531,24060.52117440134,9973350678.0,24055744849.87892
2023-10-07,26873.320313,24036.49338852103,13648094333.0,24032849040.559193
2023-10-08,26756.798828,23953.508758583353,9392909295.0,23971394345.420742
2023-10-09,26862.375,23813.52742492759,15165312851.0,23872988910.04736
2023-10-10,26861.707031,23635.455905129573,5388116782.0,23750856136.41824
2023-10-11,27159.652344,23456.24364792099,7098201980.0,23629405844.085655
2023-10-12,28519.466797,23317.99350378619,27833876539.0,23536721746.171337
2023-10-13,28415.748047,23283.968198839335,14872527508.0,23518156163.008926
2023-10-14,28328.341797,23381.718148218002,12724128586.0,23592693057.099705
2023-10-15,28719.806641,23591.12781335841,14448058195.0,23745411975.27118
2023-10-16,29682.949219,23877.231985954288,21536125230.0,23950912061.91213
2023-10-17,29918.412109,24227.084903068117,11541146996.0,24201419305.93215
2023-10-18,29993.896484,24620.064924327195,10446520040.0,24482112619.251736
2023-10-19,33086.234375,25016.860792558236,38363572311.0,24763684529.18295
2023-10-20,33901.527344,25481.466269821605,44934999644.99999,25102210941.488876
2023-10-21,34502.820313,26053.62239816006,25254318008.0,25542586574.101273
2023-10-22,34156.648438,26729.067479008067,19427195376.0,26084021736.018017
2023-10-23,33909.800781,27428.817496726977,16418032870.999998,26658927245.04446
2023-10-24,34089.574219,28040.49776633294,10160330825.0,27170715001.06044
2023-10-25,34538.480469,28497.52376650568,11160323986.0,27560032665.10534
2023-10-26,34502.36328099999,28799.734830004272,17184860315.0,27823648256.78637
2023-10-27,34667.78125,28956.015855251862,15758270810.0,27968287223.975895
2023-10-28,35437.253906,28997.88172155585,22446272005.0,28019136002.87396
2023-10-29,34938.242188,28994.463526005173,20998158544.0,28032628736.552555
2023-10-30,34732.324219,28967.113944918743,17158456700.999998,28026698209.424057
2023-10-31,35082.195313,28919.427907812253,9561294264.0,28003551372.501003
2023-11-01,35049.355469,28882.683309812743,12412743996.0,27985200208.749763
2023-11-02,35037.371094,28876.160219831196,12693436420.000002,27984285003.945984
2023-11-03,35443.5625,28904.795138845024,18834737789.0,28002453126.736465
2023-11-04,35655.277344,28978.067434068795,17295394918.0,28047047134.518406
2023-11-05,36693.125,29100.43160475715,37762672382.0,28121973644.368507
2023-11-06,37313.96875,29289.53694732568,22711265155.0,28246823268.829422
2023-11-07,37138.050781,29569.76069890371,13924272142.0,28444031599.948116
2023-11-08,37054.519531,29916.07893671719,11545715999.000002,28692595994.913258
2023-11-09,36502.355469,30271.089272264708,19057712790.0,28943827558.1637
2023-11-10,35537.640625,30541.65290598213,23857403554.0,29123542403.175842
2023-11-11,37880.582031,30624.677702730038,27365821679.0,29154084094.913445
2023-11-12,36154.769531,30615.21038555854,26007385366.0,29116382886.73941
2023-11-13,36596.683594,30511.909383005917,22445028430.000004,29014246030.637466
2023-11-14,36585.703125,30353.222365825484,11886022717.0,28879870431.60463
2023-11-15,37386.546875,30193.322310976062,12915986553.0,28753878108.57442
2023-11-16,37476.957031,30113.73980986497,20888209068.0,28696356179.221363
2023-11-17,35813.8125,30149.162919807874,25172163756.0,28731016292.575977
2023-11-18,37432.339844,30193.33034433811,24397247860.000004,28771580784.35041
2023-11-19,37289.621094,30255.592916877507,14214948217.0,28825431435.004875
2023-11-20,37720.28125,30348.81606674312,22922957822.999996,28901346366.043064
2023-11-21,37796.792969,30485.6041389855,9099571165.0,29009225478.571014
2023-11-22,37479.121094,30666.788586576437,13744796068.000002,29146516658.62161
2023-11-23,37254.167969,30854.3876737613,19002925720.0,29280455574.2195
2023-11-24,37831.085938,30996.224714049742,21696137014.0,29369949529.674927
2023-11-25,37858.492188,31092.930326362402,20728546658.0,29418254039.218483
2023-11-26,37712.746094,31154.939847997342,18115982627.0,29436814392.639156
2023-11-27,38688.75,31186.25389325359,23512784001.999996,29430810649.126354
2023-11-28,39476.332031,31237.60314345317,15534035612.0,29442687392.608562
2023-11-29,39978.390625,31378.243212796722,15769696322.0,29527377830.27957
2023-11-30,41980.097656,31637.684656761125,39856129827.0,29706386660.157368
2023-12-01,44080.648438,32075.848322849288,36312154535.0,30033025869.49762
2023-12-02,43746.445313,32747.32090616543,29909761586.0,30557652641.47521
2023-12-03,43292.664063,33585.46566853597,27635760671.0,31227334145.11033
2023-12-04,44166.60156299999,34436.06214207819,24421116687.0,31912893144.655613
2023-12-05,43725.984375,35214.290073626835,17368210171.0,32541555168.985275
2023-12-06,43779.699219,35818.93713476131,13000481418.0,33026195335.650246
2023-12-07,41243.832031,36202.85552363223,40632672038.0,33324698534.451405
2023-12-08,41450.222656,36188.10627091533,24779520132.0,33299485949.54268
2023-12-09,42890.742188,35810.51013797481,26797884674.0,32984713024.201164
2023-12-10,43023.972656,35262.52639603349,25578530178.0,32539505110.224804
2023-12-11,41929.757813,34735.69851304096,19639442462.0,32122407058.078857
2023-12-12,42240.117188,34309.31175571259,14386729589.999998,31797927732.07553
2023-12-13,41364.664063,34042.98170379353,16678702876.0,31609165433.8603
2023-12-14,42623.539063,33901.90783289948,25224642008.0,31520275513.575367
2023-12-15,42270.527344,33912.8211552393,23171001281.0,31549201215.116577
2023-12-16,43652.25,34042.335018148806,27868908174.0,31666713511.92204
2023-12-17,43869.152344,34316.421281123505,22452766169.0,31894541980.904373
2023-12-18,43997.902344,34716.54697792272,21028503216.0,32217287647.52225
2023-12-19,43739.542969,35182.88766138808,13507796558.0,32584763295.207203
2023-12-20,43016.117188,35619.53703873052,18830554085.0,32915377108.266727
2023-12-21,43613.140625,35905.93844572211,21115795370.0,33111557795.13432
2023-12-22,42520.402344,36032.2349471321,30026850981.999996,33168852230.72187
2023-12-23,43442.855469,35949.178016936006,25260941032.0,33054451630.249264
2023-12-24,42627.855469,35737.41056003503,22992093014.0,32837846187.03215
2023-12-25,42099.402344,35444.4699963378,26000021055.0,32561218997.912224
2023-12-26,42156.902344,35093.99047698436,16013925945.0,32246498369.988068
2023-12-27,42265.1875,34742.21356966046,16397498810.0,31938712379.605705
